uuid,name,country,state,city,zip,street,username,useragent,phone,mark
7b25d979-93e2-4dd8-9093-c968615a1aef,Idella Konopelski,Luxembourg,Virginia,Pourosview,31453-6586,Twila Cliffs,Hailee34,"Mozilla/5.0 (Windows; U; Windows NT 6.3) AppleWebKit/535.2.2 (KHTML, like Gecko) Chrome/33.0.830.0 Safari/535.2.2",1-666-598-0222,42
3009a284-21a2-402d-bd99-ed708d68c534,Addie Morissette,Burundi,Mississippi,East Okey,47485,Walsh Springs,Opal.Tromp54,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.2.2 (KHTML, like Gecko) Chrome/20.0.809.0 Safari/533.2.2",203.584.7912 x029,56
1680d38d-b608-47b3-8538-11164fbd10b0,Brionna Reichert,Saint Barthelemy,Utah,Lake Israel,21916,Smitham Junction,Kiera8,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/537.1.2 (KHTML, like Gecko) Chrome/33.0.816.0 Safari/537.1.2",1-085-067-4154 x406,93
ade3d4fc-536c-4c11-9f75-649f7675e69d,Jane Lang,Cook Islands,Utah,Kohlerstad,17504-2274,Koch Mill,Laisha.Flatley80,Mozilla/5.0 (Windows NT 5.1; WOW64; rv:10.7) Gecko/20100101 Firefox/10.7.9,1-891-376-2827,63
26dc8107-5759-4b54-8fd8-d8312a235f8b,Caden Macejkovic,Japan,Indiana,Lockmanchester,99018,Alfred Walk,Tillman.Jenkins,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),392.191.0944,83
1000b938-05c4-4b41-8f83-c8d5278c04a7,Emiliano Lehner II,El Salvador,Connecticut,South Frederic,07134-3822,Schaefer Points,Lorena.Gorczany,Mozilla/5.0 (Windows NT 6.3; rv:6.1) Gecko/20100101 Firefox/6.1.1,115-169-7512,77
d5c5aac7-7595-4964-ba1d-3eb1d1e84f49,Don Johns,Madagascar,Louisiana,Bodefort,660,Wilderman Field,Terrill.Schneider21,"Mozilla/5.0 (Windows; U; Windows NT 5.3) AppleWebKit/531.1.1 (KHTML, like Gecko) Chrome/26.0.858.0 Safari/531.1.1",1-301-805-2109 x356,53
5624ab2d-bb74-459b-b5df-bb3c8c178b1d,Wallace Hudson V,Switzerland,Minnesota,Johnathontown,47208,Christina Plains,Santino83,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.1.1 (KHTML, like Gecko) Chrome/36.0.878.0 Safari/533.1.1",(270) 562-4475,68
d349d87a-44fc-4971-9187-9c620cf218cb,Jaylan Abshire,Falkland Islands (Malvinas),Nevada,South Kaileyland,12948,Hand Plaza,Pinkie.Keeling57,Mozilla/5.0 (Windows NT 6.2; Trident/7.0; Touch; rv:11.0) like Gecko,633.383.9798 x2768,41
5de5617b-6347-4731-8656-166bb1122fdd,Brett Wiegand,Yemen,Wyoming,South Durward,30521,DuBuque Parks,Krista.Johns90,Mozilla/5.0 (Windows NT 5.3; rv:8.1) Gecko/20100101 Firefox/8.1.6,659-898-4578,59
58892bea-bb8d-4d04-a394-9605c4ed0c2c,Clark Mraz,Mayotte,Washington,West Dannie,20961-4857,Cali Locks,Tyrese4,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; Trident/6.0),085-729-5398,73
40f40170-6bba-472f-9ae0-e5cc354fd1f9,Evelyn Larson,Ghana,Missouri,Abshireside,65605,Adan Lake,Celestine_Halvorson86,"Mozilla/5.0 (Windows; U; Windows NT 6.3) AppleWebKit/531.2.0 (KHTML, like Gecko) Chrome/38.0.834.0 Safari/531.2.0",300.163.8374,87
cab119cb-9930-49ce-bfbf-eed1bdd09cd2,Mrs. Fletcher Jakubowski,Uganda,Wyoming,Allenfort,63840-6955,Judy Island,Alia.Schneider22,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:5.6) Gecko/20100101 Firefox/5.6.6,807-968-4930 x39672,99
e0fe599a-1c95-4076-a49e-ffa70c866bfb,Leda Walsh,Chad,Connecticut,Watersstad,42715-5847,Myah Trafficway,Don79,"Mozilla/5.0 (Windows; U; Windows NT 6.3) AppleWebKit/537.2.1 (KHTML, like Gecko) Chrome/27.0.847.0 Safari/537.2.1",978.831.5574,44
3dce6515-55e9-4c1f-9151-c9a90bfe6ba6,Jimmy Daugherty,Marshall Islands,Michigan,Joemouth,71863-3602,Walker Trace,Johnnie.Powlowski,Mozilla/5.0 (Windows NT 5.2; Win64; x64; rv:5.7) Gecko/20100101 Firefox/5.7.0,349.448.4869,43
